Valence,P_Gender,A_Gender,POV
4.4,1,1,1
5.095238095,1,1,1
5.571428571,1,1,1
4.708333333,1,1,1
4.45,1,1,1
4.6,1,1,1
5,1,1,1
5.666666667,1,1,1
5.047619048,1,1,1
6.04,1,1,1
3.52,1,1,1
4.875,1,1,1
5.380952381,1,1,1
5.916666667,1,1,1
5.571428571,1,1,1
4.5,1,1,1
5.238095238,1,1,1
4.25,1,1,1
5,1,1,1
4.9,1,1,1
4.761904762,1,1,1
4.56,1,1,1
4.6,1,1,1
4.791666667,1,1,1
5.4,1,1,1
5.2,1,1,1
4.9,1,1,1
5.45,1,1,1
5.72,1,1,1
5.4,1,1,1
4.8,1,1,1
5,1,1,1
4.95,1,1,1
4.80952381,1,1,1
5.6,1,1,1
2.761904762,1,1,1
4.7,1,1,1
4.65,1,1,1
4.56,1,1,1
4.166666667,1,1,1
4.64,1,1,1
4.2,1,1,1
4.4,1,1,1
5.28,1,1,1
5.75,1,1,1
5.238095238,1,1,1
4.833333333,1,1,1
4.24,1,1,1
5.416666667,1,1,1
5.125,1,1,1
4.380952381,1,1,1
5,1,1,1
4.952380952,1,1,1
4.52,1,1,1
4.333333333,1,1,1
5.35,1,1,1
4.44,1,1,1
5.44,1,1,1
5.095238095,1,1,1
5.476190476,1,1,1
3.44,1,1,1
5.714285714,1,1,1
4.875,1,1,1
5.625,1,1,1
4.8,1,1,1
5.166666667,1,1,1
5.05,1,1,1
4.904761905,1,1,1
4.85,1,1,1
4.958333333,1,1,1
4.8,1,1,1
4.476190476,1,1,1
5,1,1,1
5.28,1,1,1
4.15,1,1,1
4.44,1,1,1
5.8,1,1,1
4.833333333,1,1,1
5.25,1,1,1
5.28,1,1,1
4.619047619,1,1,1
5.047619048,1,1,1
6.08,1,1,1
4.625,1,1,1
5.4,1,1,1
4.9,1,1,1
4.708333333,1,1,1
4.95,1,1,1
6.166666667,1,1,1
4.958333333,1,1,1
4.56,1,1,1
5.428571429,1,1,1
4.3,1,1,1
4.36,1,1,1
4.85,1,1,1
5.6,1,1,1
4.76,1,1,1
4.55,1,1,1
4.80952381,1,1,1
5.15,1,1,1
5.05,1,1,1
4.476190476,1,0,1
4.8,1,0,1
5.95,1,0,1
4.92,1,0,1
4.791666667,1,0,1
3.75,1,0,1
5.75,1,0,1
3.6,1,0,1
4.95,1,0,1
5.571428571,1,0,1
3.476190476,1,0,1
5.16,1,0,1
4.5,1,0,1
5,1,0,1
4.85,1,0,1
4.56,1,0,1
4.7,1,0,1
4.708333333,1,0,1
4.875,1,0,1
4.75,1,0,1
4.55,1,0,1
4.761904762,1,0,1
4.583333333,1,0,1
4.96,1,0,1
5.428571429,1,0,1
4.714285714,1,0,1
5.083333333,1,0,1
5.25,1,0,1
5.571428571,1,0,1
5.285714286,1,0,1
4.666666667,1,0,1
5.047619048,1,0,1
5.083333333,1,0,1
5.6,1,0,1
5.380952381,1,0,1
2.3,1,0,1
6.208333333,1,0,1
4.625,1,0,1
4.714285714,1,0,1
4.72,1,0,1
4.380952381,1,0,1
4.238095238,1,0,1
4.333333333,1,0,1
4.952380952,1,0,1
4.958333333,1,0,1
4.5,1,0,1
5.08,1,0,1
4.952380952,1,0,1
5.56,1,0,1
5,1,0,1
4.3,1,0,1
5.3,1,0,1
4.45,1,0,1
4.571428571,1,0,1
4.5,1,0,1
4.958333333,1,0,1
4.476190476,1,0,1
4.714285714,1,0,1
4.85,1,0,1
4.85,1,0,1
5.047619048,1,0,1
5.2,1,0,1
5.36,1,0,1
6.12,1,0,1
5.125,1,0,1
5.12,1,0,1
5.25,1,0,1
4.55,1,0,1
4.75,1,0,1
5.12,1,0,1
4.857142857,1,0,1
4.8,1,0,1
4.8,1,0,1
5.19047619,1,0,1
3.75,1,0,1
4.904761905,1,0,1
5.904761905,1,0,1
4.88,1,0,1
5.76,1,0,1
4.714285714,1,0,1
5.5,1,0,1
4.3,1,0,1
6.285714286,1,0,1
4.04,1,0,1
5.714285714,1,0,1
4.791666667,1,0,1
4.6,1,0,1
4.5,1,0,1
5.52,1,0,1
4.64,1,0,1
4.523809524,1,0,1
4.75,1,0,1
4.666666667,1,0,1
5.142857143,1,0,1
4.666666667,1,0,1
5.428571429,1,0,1
5.428571429,1,0,1
4.75,1,0,1
6.25,1,0,1
4.75,1,0,1
4.958333333,1,0,1
5.3,1,1,2
4.541666667,1,1,2
5.375,1,1,2
4.428571429,1,1,2
5,1,1,2
4.72,1,1,2
5,1,1,2
4.208333333,1,1,2
4.833333333,1,1,2
6,1,1,2
3.6,1,1,2
5.095238095,1,1,2
5,1,1,2
5.047619048,1,1,2
5.166666667,1,1,2
4.428571429,1,1,2
4.375,1,1,2
4.92,1,1,2
5.96,1,1,2
4.76,1,1,2
4.25,1,1,2
4.75,1,1,2
5.44,1,1,2
4.714285714,1,1,2
5.55,1,1,2
4.75,1,1,2
5.16,1,1,2
5.88,1,1,2
4.9,1,1,2
4.5,1,1,2
4.64,1,1,2
4.9,1,1,2
5.32,1,1,2
5.375,1,1,2
4.75,1,1,2
2.25,1,1,2
5.4,1,1,2
4.84,1,1,2
4.75,1,1,2
5.047619048,1,1,2
4.9,1,1,2
4.5,1,1,2
4.8,1,1,2
4.8,1,1,2
5.52,1,1,2
5,1,1,2
4.904761905,1,1,2
5.05,1,1,2
4.571428571,1,1,2
5.428571429,1,1,2
3.833333333,1,1,2
4.75,1,1,2
4.916666667,1,1,2
4.5,1,1,2
4.958333333,1,1,2
4.88,1,1,2
3.8,1,1,2
4.85,1,1,2
4.791666667,1,1,2
4.583333333,1,1,2
3.65,1,1,2
5.291666667,1,1,2
5.428571429,1,1,2
5.904761905,1,1,2
4.6,1,1,2
5.238095238,1,1,2
5.24,1,1,2
4.791666667,1,1,2
4.48,1,1,2
4.857142857,1,1,2
4.45,1,1,2
4.583333333,1,1,2
4.875,1,1,2
4.95,1,1,2
3.28,1,1,2
4.95,1,1,2
5.65,1,1,2
4.904761905,1,1,2
5.428571429,1,1,2
5.1,1,1,2
3.916666667,1,1,2
4.791666667,1,1,2
6.3,1,1,2
4.380952381,1,1,2
4.95,1,1,2
6.28,1,1,2
4.714285714,1,1,2
4.96,1,1,2
6.619047619,1,1,2
3.380952381,1,1,2
4.65,1,1,2
5.041666667,1,1,2
5.4,1,1,2
4.65,1,1,2
5.4,1,1,2
4.85,1,1,2
5,1,1,2
5,1,1,2
4.708333333,1,1,2
5.12,1,1,2
4.96,1,1,2
5.458333333,1,0,2
4.68,1,0,2
5.56,1,0,2
4.1,1,0,2
5.19047619,1,0,2
5.285714286,1,0,2
4.96,1,0,2
4.36,1,0,2
4.84,1,0,2
5.166666667,1,0,2
3.291666667,1,0,2
4.65,1,0,2
5.28,1,0,2
4.55,1,0,2
5.16,1,0,2
4.8,1,0,2
4.92,1,0,2
5.285714286,1,0,2
6.095238095,1,0,2
4.714285714,1,0,2
4.68,1,0,2
4.625,1,0,2
4.952380952,1,0,2
5.6,1,0,2
5.541666667,1,0,2
5.375,1,0,2
5.238095238,1,0,2
5.80952381,1,0,2
4.791666667,1,0,2
4.833333333,1,0,2
5.142857143,1,0,2
5.083333333,1,0,2
5.428571429,1,0,2
5.04,1,0,2
4.958333333,1,0,2
2.24,1,0,2
6.333333333,1,0,2
5.333333333,1,0,2
4.375,1,0,2
5,1,0,2
4.5,1,0,2
4.166666667,1,0,2
5.238095238,1,0,2
5.25,1,0,2
5.619047619,1,0,2
5.32,1,0,2
4.6,1,0,2
4.541666667,1,0,2
5.55,1,0,2
5.05,1,0,2
4.28,1,0,2
4.6,1,0,2
4.6,1,0,2
4.25,1,0,2
4.92,1,0,2
4.857142857,1,0,2
4.583333333,1,0,2
4.791666667,1,0,2
4.88,1,0,2
5.16,1,0,2
3.583333333,1,0,2
5.72,1,0,2
5.65,1,0,2
5.75,1,0,2
4.523809524,1,0,2
4.55,1,0,2
6.047619048,1,0,2
4.68,1,0,2
4.857142857,1,0,2
5.2,1,0,2
4.083333333,1,0,2
4.68,1,0,2
4.44,1,0,2
4.833333333,1,0,2
3.476190476,1,0,2
4.583333333,1,0,2
5.75,1,0,2
4.2,1,0,2
5.15,1,0,2
4.375,1,0,2
5.04,1,0,2
4.96,1,0,2
6.041666667,1,0,2
3.35,1,0,2
4.666666667,1,0,2
6.904761905,1,0,2
4.4,1,0,2
4.761904762,1,0,2
6.35,1,0,2
5,1,0,2
4.166666667,1,0,2
5.32,1,0,2
4.952380952,1,0,2
4.958333333,1,0,2
5.285714286,1,0,2
5,1,0,2
4.583333333,1,0,2
5.095238095,1,0,2
5.16,1,0,2
5.047619048,1,0,2
5.523809524,1,0,2
5.12,0,1,1
4.65,0,1,1
3.95,0,1,1
4.4,0,1,1
5.45,0,1,1
4.5,0,1,1
4.8,0,1,1
4.416666667,0,1,1
4.3,0,1,1
4.875,0,1,1
5,0,1,1
3.80952381,0,1,1
5.476190476,0,1,1
4.64,0,1,1
5.041666667,0,1,1
5.44,0,1,1
4.92,0,1,1
4.666666667,0,1,1
4.75,0,1,1
4.666666667,0,1,1
4.8,0,1,1
4.952380952,0,1,1
5.761904762,0,1,1
5,0,1,1
4.5,0,1,1
4.65,0,1,1
5.583333333,0,1,1
4.68,0,1,1
5.041666667,0,1,1
5.571428571,0,1,1
4.291666667,0,1,1
4.52,0,1,1
4.333333333,0,1,1
4.92,0,1,1
5.571428571,0,1,1
5.16,0,1,1
4.95,0,1,1
4.125,0,1,1
5.44,0,1,1
5.04,0,1,1
5.476190476,0,1,1
5.166666667,0,1,1
3.666666667,0,1,1
4.714285714,0,1,1
4.428571429,0,1,1
4.4,0,1,1
4.84,0,1,1
4.88,0,1,1
4.56,0,1,1
4.541666667,0,1,1
4.761904762,0,1,1
4.35,0,1,1
4.92,0,1,1
4.857142857,0,1,1
5.4,0,1,1
4.875,0,1,1
5.24,0,1,1
5.25,0,1,1
4.952380952,0,1,1
4.45,0,1,1
5.25,0,1,1
5.48,0,1,1
4.88,0,1,1
4.08,0,1,1
4.80952381,0,1,1
4.65,0,1,1
4.72,0,1,1
5.1,0,1,1
5.45,0,1,1
4.708333333,0,1,1
4.6,0,1,1
4.75,0,1,1
4.65,0,1,1
3.85,0,1,1
5.12,0,1,1
5.35,0,1,1
5.08,0,1,1
3.95,0,1,1
4.625,0,1,1
4.952380952,0,1,1
7.48,0,1,1
4.333333333,0,1,1
5.285714286,0,1,1
4.75,0,1,1
4.25,0,1,1
4.6,0,1,1
4.52,0,1,1
5.19047619,0,1,1
5,0,1,1
5.047619048,0,1,1
5.16,0,1,1
4.25,0,1,1
4.714285714,0,1,1
5.238095238,0,1,1
4.80952381,0,1,1
5.19047619,0,1,1
4.7,0,1,1
4.458333333,0,1,1
4.7,0,1,1
5.24,0,1,1
4.7,0,1,1
5.32,0,1,1
2.238095238,0,1,1
5.08,0,1,1
5.761904762,0,1,1
4.05,0,1,1
4.2,0,1,1
3.88,0,1,1
3.833333333,0,1,1
4.45,0,1,1
5.19047619,0,0,1
5.25,0,0,1
4.333333333,0,0,1
4.125,0,0,1
4.791666667,0,0,1
4.875,0,0,1
4.666666667,0,0,1
4.64,0,0,1
4.541666667,0,0,1
4.2,0,0,1
4.833333333,0,0,1
3.3,0,0,1
4.1,0,0,1
4.619047619,0,0,1
5,0,0,1
5.333333333,0,0,1
4.80952381,0,0,1
4.45,0,0,1
4.75,0,0,1
4.3,0,0,1
4.958333333,0,0,1
4.65,0,0,1
4.95,0,0,1
5.08,0,0,1
4.64,0,0,1
4.625,0,0,1
4.88,0,0,1
4.619047619,0,0,1
5.4,0,0,1
5.25,0,0,1
4.16,0,0,1
4.666666667,0,0,1
3.08,0,0,1
5.333333333,0,0,1
4.65,0,0,1
4.571428571,0,0,1
4.5,0,0,1
4.64,0,0,1
5.238095238,0,0,1
4.80952381,0,0,1
5.05,0,0,1
5.8,0,0,1
3.15,0,0,1
5.25,0,0,1
3.75,0,0,1
4.80952381,0,0,1
5.142857143,0,0,1
5.19047619,0,0,1
4.380952381,0,0,1
4.92,0,0,1
4.3,0,0,1
4.625,0,0,1
4.952380952,0,0,1
5.25,0,0,1
5.238095238,0,0,1
4.72,0,0,1
5.857142857,0,0,1
5.48,0,0,1
4.8,0,0,1
4.083333333,0,0,1
4.68,0,0,1
5.80952381,0,0,1
5.047619048,0,0,1
4.428571429,0,0,1
4.2,0,0,1
5.291666667,0,0,1
4.761904762,0,0,1
5.125,0,0,1
5.208333333,0,0,1
5.36,0,0,1
5.166666667,0,0,1
4.4,0,0,1
5.291666667,0,0,1
5.041666667,0,0,1
4.952380952,0,0,1
5,0,0,1
5.19047619,0,0,1
4.291666667,0,0,1
4.8,0,0,1
4.65,0,0,1
7.523809524,0,0,1
4.56,0,0,1
6.15,0,0,1
4.583333333,0,0,1
4.875,0,0,1
4.916666667,0,0,1
4.571428571,0,0,1
4.95,0,0,1
5.083333333,0,0,1
4.75,0,0,1
5.047619048,0,0,1
5,0,0,1
3.9,0,0,1
5.25,0,0,1
4.8,0,0,1
5.15,0,0,1
5.083333333,0,0,1
5.16,0,0,1
5.291666667,0,0,1
4.761904762,0,0,1
4.541666667,0,0,1
5.19047619,0,0,1
1.8,0,0,1
5.142857143,0,0,1
5.2,0,0,1
4.791666667,0,0,1
3.571428571,0,0,1
3.571428571,0,0,1
4.16,0,0,1
4,0,0,1
4.65,0,1,2
5.2,0,1,2
4.36,0,1,2
4.6,0,1,2
5.8,0,1,2
4.96,0,1,2
5.28,0,1,2
4.571428571,0,1,2
5.16,0,1,2
4.333333333,0,1,2
5.12,0,1,2
3,0,1,2
5.083333333,0,1,2
4.7,0,1,2
5.380952381,0,1,2
5.75,0,1,2
4.85,0,1,2
4.625,0,1,2
4.92,0,1,2
4.583333333,0,1,2
4.8,0,1,2
4.958333333,0,1,2
4.208333333,0,1,2
5.142857143,0,1,2
4.523809524,0,1,2
5.36,0,1,2
5.285714286,0,1,2
4.9,0,1,2
4.904761905,0,1,2
5.166666667,0,1,2
4.523809524,0,1,2
4.55,0,1,2
2.666666667,0,1,2
4.5,0,1,2
5.083333333,0,1,2
4.65,0,1,2
4.84,0,1,2
4.476190476,0,1,2
5,0,1,2
4.6,0,1,2
4.958333333,0,1,2
5.523809524,0,1,2
3.416666667,0,1,2
4.791666667,0,1,2
4.375,0,1,2
4.35,0,1,2
5,0,1,2
4.2,0,1,2
4.4,0,1,2
4.714285714,0,1,2
5.125,0,1,2
4.68,0,1,2
4.4,0,1,2
5.291666667,0,1,2
4.95,0,1,2
5.047619048,0,1,2
4.9,0,1,2
5.095238095,0,1,2
4.625,0,1,2
4.8,0,1,2
5.333333333,0,1,2
5.2,0,1,2
4.15,0,1,2
4.05,0,1,2
4.708333333,0,1,2
5.16,0,1,2
4.6,0,1,2
5.04,0,1,2
6,0,1,2
5,0,1,2
5.16,0,1,2
4.666666667,0,1,2
5.04,0,1,2
4.72,0,1,2
4.7,0,1,2
5.6,0,1,2
5.25,0,1,2
5.16,0,1,2
4.619047619,0,1,2
4.708333333,0,1,2
7.6,0,1,2
4.428571429,0,1,2
5.541666667,0,1,2
4.72,0,1,2
5.48,0,1,2
4.84,0,1,2
4.55,0,1,2
4.958333333,0,1,2
5.4,0,1,2
4.5,0,1,2
4.4,0,1,2
4.72,0,1,2
4.125,0,1,2
4.708333333,0,1,2
4.625,0,1,2
5.375,0,1,2
5.4,0,1,2
4.333333333,0,1,2
5.44,0,1,2
4.65,0,1,2
4.48,0,1,2
4.9,0,1,2
2.166666667,0,1,2
4.3,0,1,2
4.083333333,0,1,2
5.2,0,1,2
3.9,0,1,2
3.65,0,1,2
4.142857143,0,1,2
6.04,0,1,2
4.916666667,0,0,2
5.285714286,0,0,2
5.380952381,0,0,2
4.571428571,0,0,2
5.047619048,0,0,2
5,0,0,2
5.142857143,0,0,2
4.8,0,0,2
5.095238095,0,0,2
3.4,0,0,2
5.571428571,0,0,2
3.12,0,0,2
4.76,0,0,2
4.458333333,0,0,2
4.85,0,0,2
4.708333333,0,0,2
4.583333333,0,0,2
4.64,0,0,2
5.142857143,0,0,2
4.6,0,0,2
4.619047619,0,0,2
5.12,0,0,2
5.84,0,0,2
4.8,0,0,2
5,0,0,2
4.952380952,0,0,2
4.95,0,0,2
4.375,0,0,2
5.2,0,0,2
4,0,0,2
4.1,0,0,2
4.333333333,0,0,2
3.35,0,0,2
4.833333333,0,0,2
5.52,0,0,2
3.666666667,0,0,2
5.476190476,0,0,2
5.4,0,0,2
5,0,0,2
4.625,0,0,2
5.04,0,0,2
4.8,0,0,2
3.6,0,0,2
4.8,0,0,2
4.16,0,0,2
4.833333333,0,0,2
4.833333333,0,0,2
5.041666667,0,0,2
4.5,0,0,2
5.1,0,0,2
4.48,0,0,2
4.714285714,0,0,2
4.875,0,0,2
5.32,0,0,2
4.791666667,0,0,2
4.5,0,0,2
5.75,0,0,2
5.1,0,0,2
4.92,0,0,2
5.095238095,0,0,2
4.85,0,0,2
5.041666667,0,0,2
4.5,0,0,2
4.208333333,0,0,2
5.04,0,0,2
5.095238095,0,0,2
4.791666667,0,0,2
5.333333333,0,0,2
4.904761905,0,0,2
5.15,0,0,2
5.333333333,0,0,2
4.45,0,0,2
5.095238095,0,0,2
4.19047619,0,0,2
4.458333333,0,0,2
5.904761905,0,0,2
4.916666667,0,0,2
3.761904762,0,0,2
3.9,0,0,2
5.08,0,0,2
6.75,0,0,2
4.2,0,0,2
5.56,0,0,2
5.380952381,0,0,2
5.333333333,0,0,2
5.238095238,0,0,2
4.583333333,0,0,2
4.72,0,0,2
5.476190476,0,0,2
4.8,0,0,2
4.583333333,0,0,2
5.523809524,0,0,2
4.28,0,0,2
6.08,0,0,2
5.56,0,0,2
4.96,0,0,2
5.285714286,0,0,2
4.75,0,0,2
4.666666667,0,0,2
4.75,0,0,2
4.904761905,0,0,2
5.125,0,0,2
1.8,0,0,2
5,0,0,2
3.56,0,0,2
4.857142857,0,0,2
4,0,0,2
3.666666667,0,0,2
4.8,0,0,2
6.380952381,0,0,2
